Artist,ID,Unique Artists,Picture URL,Image Author,Image Source,Type
BTS,0,BTS,https://upload.wikimedia.org/wikipedia/commons/3/3a/Bangtan_Boys_in_Hongdae_on_March_27%2C_2014.jpg,Taehyung's Moment,http://taehyungsmoment.tistory.com/entry/140327-%ED%99%8D%EB%8C%80,Boy Group
Twice,1,Twice,https://upload.wikimedia.org/wikipedia/commons/d/da/%ED%8A%B8%EC%99%80%EC%9D%B4%EC%8A%A4%28TWICE%29_G%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C_%EC%95%84%EC%8B%9C%EC%95%84_%EB%93%9C%EB%A6%BC_%EC%BD%98%EC%84%9C%ED%8A%B8_%288%29.jpg,SJ,http://sjcontents.tistory.com/720,Girl Group
Beast,2,Beast,https://upload.wikimedia.org/wikipedia/commons/5/5e/%28Marie_Claire_Korea%29_BEAST_is_BACK%21_%287%29.jpg,Marie Claire Korea,https://www.youtube.com/watch?v=I7Ecjl3Qzfg,Boy Group
SHINee,3,SHINee,https://upload.wikimedia.org/wikipedia/commons/9/99/20160730-P1000584_%2828876032575%29.jpg,mduangdara,https://www.flickr.com/photos/mduangdara/28876032575/,Boy Group
Super Junior,4,Super Junior,https://upload.wikimedia.org/wikipedia/commons/5/52/KCON_2015_Super_Junior_DSC02998_%2820357930851%29.jpg,mduangdara,https://www.flickr.com/photos/mduangdara/20357930851/,Boy Group
VIXX,5,VIXX,https://upload.wikimedia.org/wikipedia/commons/7/7d/VIXX_at_Korea_Sale_Festa.jpg,Korea.net / Korean Culture and Information Service (Jeon Han),https://www.flickr.com/photos/koreanet/30058040055/in/album-72157626585071327/,Boy Group
Beast,6,Girls' Generation,https://upload.wikimedia.org/wikipedia/commons/2/23/Girls%27_Generation_at_DMC_Festival_2015_MBC_Radio_DJ_Concert_02.jpg,Pabian,http://amymen.tistory.com/981,Girl Group
Twice,7,Kara,https://upload.wikimedia.org/wikipedia/commons/b/be/KARA_at_DSP_Festival.jpg,takato marui,https://www.flickr.com/photos/32413914@N00/12012255695,Girl Group
Twice,8,Wonder Girls,https://upload.wikimedia.org/wikipedia/commons/b/bf/Wonder_Girls-2008_BICHE_02.jpg,복사골철이,https://commons.wikimedia.org/wiki/File:Wonder_Girls-2008_BICHE_02.jpg,Girl Group
VIXX,9,Miss A,https://upload.wikimedia.org/wikipedia/commons/7/78/Miss_A_at_the_Korea_KPOP_World_Festival_2013.jpg,koreanet,https://www.flickr.com/photos/koreanet/11040012933/,Girl Group
Twice,10,EXO,https://upload.wikimedia.org/wikipedia/commons/f/fa/Exo_2012.jpg,the.angrycamel,https://www.flickr.com/photos/angrycamel/8210879921/,Boy Group
Twice,11,Red Velvet,https://upload.wikimedia.org/wikipedia/commons/e/e4/160618_MBC_Thank_You_Festival_%E2%80%93_Red_Velvet.jpg,secret_icecream,http://june14th.tistory.com/78,Girl Group
Twice,12,Big Bang,https://upload.wikimedia.org/wikipedia/commons/a/a9/Big_Bang_In_Thailand.JPG,Sry85,https://commons.wikimedia.org/wiki/User:Sry85,Boy Group
Twice,13,f(x),https://upload.wikimedia.org/wikipedia/commons/b/be/151025_f%28x%29_01.jpg,PTTf(x),http://pttfx.tistory.com/45,Girl Group
Girls' Generation,14,SISTAR,https://upload.wikimedia.org/wikipedia/commons/1/16/%EC%94%A8%EC%8A%A4%ED%83%80%28SISTAR%29_G%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C_%EC%95%84%EC%8B%9C%EC%95%84_%EB%93%9C%EB%A6%BC_%EC%BD%98%EC%84%9C%ED%8A%B8_%2811%29.jpg,SJ,http://sjcontents.tistory.com/721,Girl Group
Kara,15,APink,https://upload.wikimedia.org/wikipedia/commons/6/6c/180324_%EC%A0%84%EB%9D%BC%EA%B3%A050%EC%A3%BC%EB%85%84_%EA%B8%B0%EB%85%90%ED%96%89%EC%82%AC_%EC%97%90%EC%9D%B4%ED%95%91%ED%81%AC_part.1_%281%29.jpg,redpanda0419,http://redpanda0419.tistory.com/m/38,Girl Group
Super Junior,16,EXID,https://upload.wikimedia.org/wikipedia/commons/6/6e/141211_EXID_%EB%8D%94%EC%87%BC_in_%EC%BD%94%EC%97%91%EC%8A%A4_%EC%95%BC%EC%99%B8%EB%AC%B4%EB%8C%80.jpg,우연히현영,http://wooyeon724.tistory.com/96,Girl Group
Wonder Girls,17,MONSTA X,https://upload.wikimedia.org/wikipedia/commons/4/4a/Monsta_X_Promoting_The_First_Asia_Fan_Meeting_in_Bangkok_2017.png,Bugaboo.TV,https://www.youtube.com/watch?v=ohvKnVfFmNc,Boy Group
